Index,Company ,Company Twitter 
159,Dow Inc.,@DowNewsroom
160,Aflac Incorporated,@aflac
161,Valero Energy Corporation,@ValeroEnergy
162,Marathon Petroleum Corporation,@MarathonPetroCo
163,Roper Technologies Inc.,
164,Prudential Financial Inc.,@Prudential
165,FedEx Corporation,@FedEx
166,Allstate Corporation,@Allstate
167,Ford Motor Company,@Ford
168, Travelers Companies Inc.,@Travelers
169,Newmont Corporation,
170,Delta Air lines inc.,@Delta
171,Cognizant Technology Solutions,@Cognizant
172,Welltower Inc.,
173,O'Reilly Automotive Inc.,@oreillyauto
174,TE Connectivity Ltd.,@TEConnectivity
175,Xcel Energy Inc. ,@xcelenergy
176,Constellation Brands Inc.,@cbrands
177,Amphenol Corporation,@AmphenolPCD
178,Electronic Arts Inc.,@EA
179,Public Storage,@PublicStorage
180,Johnson Controls International plc,@johnsoncontrols
181,General Mills Inc.,@GeneralMills
182,HP inc. ,@HP
183,Ingersoll-Rand Plc,@IngersollRand
184,V.F. Corporation,@VFCorp
185,IHS Markit Ltd. ,@IHSMarkit
186,Yum! Brands Inc.,@yumbrands
187,ONEOK Inc.,@ONEOK
188,Hilton Worldwide Holdings Inc.,@HiltonHotels
189,Regeneron Pharmaceuticals Inc.,@Regeneron
190,Zimmer Biomet Holdings Inc.,@zimmerbiomet
191,PPG Industries Inc.,@PPG
192,State Street Corporation,@StateStreet
193,T. Rowe Price Group,@TRowePrice
194,TransDigm Group Incorporated,
195,Public Service Enterprise Group Inc.,@PSEGNews
196,Consolidated Edison Inc.,@ConEdison
197,AvalonBay Communities Inc.,@AvalonBay
198,WEC Energy Group Inc,
199,IQVIA Holdings Inc,@IQVIA_global
200,Motorola Solutions Inc.,@MotoSolutions
201,Equity Residential ,@EquityRes
202,Williams Companies Inc.,@WilliamsUpdates
203,SBA Communications Corp.,
204,KLA Corporation,@KLAcorp
205,Paychex Inc.,@Paychex
206,Agilent Technologies Inc.,@Agilent
207,Tyson Foods Inc.,@TysonFoods
208,Eversource Energy,@EversourceCorp
209,AutoZone Inc.,@autozone
210,PACCAE Inc.,@paccar
211,Parker Hamilton Corporation,
212,Microchip Technology Inc.,@MicrochipTech
213,eBay Inc.,@eBay
214,Cummins Inc.,@Cummins
215,Discover Financial Services,@Discover
216,Willis Towers Watson Public Limited Company,@WTWcorporate
217,Centene Corporation,@Centene
218,McKesson Corporation,@McKesson
219,FirstEnergy Corp.,@firstenergycorp
220,Southwest Airlines Co.,@SouthwestAir
221,PPL Corporation,@PPLCorp
222,Verisk Analytics Inc.,@Verisk
223,FleetCor Technologies Inc.,
224,Twitter Inc.,@Twitter
225,Monster Beverage Corporation,@MonsterEnergy
226,Xilinx Inc.,@XilinxInc
227,Alexion Pharmaceuticals Inc.,@AlexionPharma
228,Stanley Black and Decker Inc.,@StanleyBlkDeckr
229,T-Mobile Us Inc.,@TMobile
230,DTE Energy Company ,@DTE_Energy
231,Digital Realty Trust Inc.,@digitalrealty
232,Realty Income Corporation,@RealtyIncome
233,Archer-Daniels-Midland Company ,@ADMupdates
234,IDEXX Laboratories Inc.,@IDEXX
235,Las Vegas Sands Corp.,@LasVegasSands
236,Entergy Corporation,@Entergy
237,Pioneer Natural Resources Company,@PXDtweets
238,Cerner Corporation,@Cerner
239,Rockwell Automation Inc.,@ROKAutomation
240,Cintas Corporation,@CintasCorp
241,LyondellBasell Industries NV,@LyondellBasell
242,Corning Inc.,@Corning
